MutationType	5FU.PATIENT10.LIVN.CLONE1	5FU.PATIENT10.LIVN.CLONE4	5FU.PATIENT11.LIVN.CLONE4	5FU.PATIENT14.LIVN.CLONE1	5FU.PATIENT6.LivN.CLONE2	5FU.PATIENT6.LivN.CLONE5	5FU.PATIENT7.LivN.CLONE1	5FU.PATIENT7.LivN.CLONE4	5FU.PATIENT8.LivN.CLONE13	5FU.PATIENT8.LivN.CLONE15	5FU.PATIENT9.LivN.CLONE3	c080216DCLONE2	c080216DCLONE3	c110116DCLONE2	c150216DCLONE2	c180516DCLONE6	C30913DClone10	C30913DClone12	C30913DClone13	Healthy15CLONE1	Healthy15CLONE2	Healthy16CLONE1	Healthy17CLONE10	Healthy17CLONE3	Healthy17CLONE4	LiverC150216DHealthyPO	LiverC150216DHealthyPOA
1:Del:C:0	11	15	6	3	11	14	13	9	7	7	8	16	9	13	5	14	6	7	6	8	7	7	12	16	26	12	10
1:Del:C:1	4	9	10	7	10	16	9	6	4	5	5	15	10	9	2	11	4	1	3	7	1	15	5	7	11	2	4
1:Del:C:2	1	3	2	9	6	8	7	6	1	9	9	9	6	3	1	7	0	0	1	0	1	6	5	6	9	5	1
1:Del:C:3	1	2	3	3	4	6	2	0	3	3	1	5	2	3	0	3	2	1	2	0	1	3	2	2	3	0	0
1:Del:C:4	3	2	0	2	0	0	2	0	1	0	4	1	0	2	0	2	0	1	0	2	1	2	1	1	0	0	0
1:Del:C:5	0	1	0	0	1	3	0	1	3	0	0	2	1	2	0	0	1	0	0	0	2	3	0	1	0	0	0
1:Del:T:0	8	13	9	10	12	13	14	6	4	8	13	12	10	13	1	16	8	7	11	5	7	8	9	13	22	7	3
1:Del:T:1	7	6	5	9	14	12	9	2	6	7	13	11	13	6	4	10	5	0	5	7	4	7	6	10	15	7	7
1:Del:T:2	3	6	8	9	6	9	7	7	3	5	6	5	3	11	8	15	5	4	6	1	4	12	3	3	18	7	10
1:Del:T:3	2	2	6	4	2	4	7	3	4	4	9	10	4	8	0	12	4	4	4	4	2	7	7	2	6	0	2
