MutationType	5FU.PATIENT10.LIVN.CLONE1	5FU.PATIENT10.LIVN.CLONE4	5FU.PATIENT11.LIVN.CLONE4	5FU.PATIENT14.LIVN.CLONE1	5FU.PATIENT6.LivN.CLONE2	5FU.PATIENT6.LivN.CLONE5	5FU.PATIENT7.LivN.CLONE1	5FU.PATIENT7.LivN.CLONE4	5FU.PATIENT8.LivN.CLONE13	5FU.PATIENT8.LivN.CLONE15	5FU.PATIENT9.LivN.CLONE3	c080216DCLONE2	c080216DCLONE3	c110116DCLONE2	c150216DCLONE2	c180516DCLONE6	C30913DClone10	C30913DClone12	C30913DClone13	Healthy15CLONE1	Healthy15CLONE2	Healthy16CLONE1	Healthy17CLONE10	Healthy17CLONE3	Healthy17CLONE4	LiverC150216DHealthyPO	LiverC150216DHealthyPOA
1:Del:C:0	21	27	31	14	17	30	30	22	23	11	15	24	23	31	17	17	19	9	14	24	10	28	23	27	31	29	28
1:Del:C:1	9	16	21	11	15	26	19	11	9	11	11	19	17	14	5	15	7	3	10	10	3	27	8	10	14	8	11
1:Del:C:2	4	8	9	12	9	13	13	12	8	20	12	12	9	12	4	8	3	2	3	8	2	18	6	7	11	8	2
1:Del:C:3	2	3	6	4	5	8	7	7	3	4	1	6	2	6	1	4	2	1	2	3	1	12	2	2	4	2	1
1:Del:C:4	3	2	2	2	0	0	2	0	1	0	6	1	0	2	2	2	0	1	1	4	2	4	1	1	1	0	0
1:Del:C:5	1	2	3	0	1	3	0	2	5	1	0	3	2	4	0	0	1	0	0	1	2	4	0	1	0	1	1
1:Del:T:0	16	27	27	19	18	24	29	13	18	20	19	19	22	26	7	19	19	16	22	21	12	38	14	23	25	27	23
1:Del:T:1	10	13	13	12	19	18	15	13	16	19	14	16	16	14	13	13	11	4	12	12	6	18	10	12	15	18	12
1:Del:T:2	5	7	12	12	8	11	8	11	7	10	6	6	3	17	10	16	10	5	10	4	5	17	8	6	18	11	14
1:Del:T:3	5	9	11	8	4	7	9	5	6	5	13	11	6	10	0	13	5	4	7	9	4	12	9	8	8	1	2
1:Del:T:4	9	9	9	8	10	12	6	12	9	6	4	10	5	7	8	7	3	1	2	6	2	12	6	5	5	10	7
1:Del:T:5	6	11	15	15	9	13	19	18	12	14	13	14	11	12	7	9	6	7	2	19	10	13	12	9	12	12	22
1:Ins:C:0	11	6	7	13	17	24	13	12	13	18	11	6	10	8	19	1	6	4	11	7	6	18	6	7	5	35	96
1:Ins:C:1	7	4	6	6	15	7	8	5	9	8	2	4	3	1	7	1	6	4	6	4	0	15	6	2	2	16	26
1:Ins:C:2	2	3	2	4	5	6	6	3	8	5	4	3	4	9	7	2	6	5	13	6	2	18	6	3	2	5	2
1:Ins:C:3	1	0	1	3	3	2	1	4	2	2	2	4	4	2	6	0	7	6	15	3	3	10	3	3	2	4	14
1:Ins:C:4	0	3	2	1	5	1	3	2	4	1	3	1	4	2	3	0	4	4	8	2	2	3	2	0	1	2	5
1:Ins:C:5	5	1	3	0	1	3	5	5	7	4	3	1	3	5	1	2	4	3	8	3	2	5	0	3	2	3	14
1:Ins:T:0	18	10	10	11	18	28	14	24	25	11	5	8	18	17	16	11	5	6	3	26	3	41	3	1	4	28	57
1:Ins:T:1	13	11	14	12	17	13	16	10	5	6	8	6	8	12	13	4	6	6	7	8	5	19	5	8	9	14	14
1:Ins:T:2	4	5	8	5	5	8	6	3	5	5	3	3	4	6	9	3	7	10	7	3	1	7	0	3	4	10	16
1:Ins:T:3	2	4	5	3	5	2	4	2	6	1	1	2	2	7	3	2	10	6	10	2	3	1	6	1	3	1	2
1:Ins:T:4	4	1	1	0	4	5	5	4	3	3	3	1	4	1	3	0	3	2	6	2	0	4	1	2	0	2	2
1:Ins:T:5	27	34	28	28	29	34	26	23	31	25	32	30	30	32	29	29	15	11	13	15	10	78	8	19	12	26	33
2:Del:R:0	7	5	4	8	20	20	23	27	12	17	2	5	13	15	18	4	3	6	6	23	2	41	8	8	10	16	10
2:Del:R:1	4	6	10	5	13	5	8	9	2	4	7	6	10	4	1	1	4	2	4	2	4	13	6	8	9	2	4
2:Del:R:2	2	3	1	4	4	2	3	4	2	4	1	0	4	6	2	1	2	1	1	3	1	4	1	3	1	6	3
2:Del:R:3	2	2	0	1	1	1	0	0	2	1	3	0	1	0	4	1	1	0	0	1	0	0	0	0	4	5	3
2:Del:R:4	5	3	5	7	3	1	2	3	3	1	4	4	1	1	1	1	1	3	0	4	1	1	0	0	0	4	7
2:Del:R:5	156	215	189	200	127	138	67	48	127	106	198	78	63	51	72	45	38	45	34	110	58	44	10	21	12	60	164
3:Del:R:0	4	1	5	4	7	5	4	4	4	3	1	7	2	6	4	2	1	3	3	3	3	4	3	3	2	4	8
3:Del:R:1	5	2	2	3	6	5	2	2	1	5	4	5	5	6	3	3	3	7	6	4	3	9	2	2	3	6	6
3:Del:R:2	1	0	2	1	2	1	1	0	1	0	0	0	2	1	1	1	1	0	1	1	0	0	0	1	0	1	1
3:Del:R:3	2	2	0	3	3	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	1	4
3:Del:R:4	7	13	11	13	4	2	5	1	5	6	8	5	3	2	7	2	0	0	0	2	3	3	0	0	0	3	11
3:Del:R:5	16	21	12	18	4	13	7	5	7	7	16	6	7	4	5	1	1	1	0	12	3	1	0	0	0	3	12
4:Del:R:0	3	3	4	0	3	4	7	2	2	4	4	4	3	3	6	4	1	2	1	1	3	7	1	0	0	2	2
4:Del:R:1	5	4	2	2	8	8	6	3	5	3	4	3	6	4	3	4	2	1	2	5	6	6	5	9	10	3	3
4:Del:R:2	1	1	0	0	1	2	1	2	1	1	2	2	0	3	0	2	1	2	1	1	4	1	0	2	5	0	2
4:Del:R:3	11	9	12	5	3	8	1	3	3	3	3	7	4	2	4	2	0	0	0	7	6	0	1	0	2	4	10
4:Del:R:4	8	9	11	11	3	8	1	3	1	6	6	4	2	5	4	2	0	0	0	4	2	3	2	0	1	4	5
4:Del:R:5	4	8	6	8	7	5	1	2	8	5	5	6	4	0	3	1	0	2	0	5	1	2	0	0	0	3	2
5:Del:R:0	9	14	12	19	23	23	9	10	12	5	16	16	15	25	25	15	7	6	8	9	8	27	12	13	20	8	14
5:Del:R:1	0	1	3	0	1	4	3	1	3	3	3	6	4	3	0	0	1	3	1	3	2	2	1	3	0	4	4
5:Del:R:2	0	0	0	2	2	0	0	1	0	1	0	1	2	0	0	0	0	1	0	0	0	1	0	1	1	0	1
5:Del:R:3	0	1	1	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	3	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	16	17	16	10	27	31	32	25	24	30	9	13	14	25	19	13	9	3	9	22	9	44	6	12	10	42	76
2:Ins:R:1	3	5	0	5	6	5	3	3	3	4	3	4	10	8	3	5	3	4	6	6	4	9	5	4	1	6	6
2:Ins:R:2	1	1	2	1	1	6	3	3	2	6	4	1	1	2	3	0	2	1	1	2	0	6	5	1	3	4	1
2:Ins:R:3	4	2	0	3	2	2	3	1	3	1	1	2	1	2	2	1	3	0	0	0	0	2	0	0	0	1	2
2:Ins:R:4	1	2	1	0	0	2	1	0	0	0	2	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0
2:Ins:R:5	40	35	36	31	15	12	6	5	20	16	32	15	9	2	4	12	2	0	0	5	3	10	1	1	2	7	20
3:Ins:R:0	3	4	4	3	4	5	7	8	7	5	5	5	4	3	5	6	5	3	7	8	3	4	2	6	4	19	16
3:Ins:R:1	2	2	2	0	0	3	3	1	1	2	2	1	4	3	3	1	2	2	2	0	0	6	3	4	3	2	2
3:Ins:R:2	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:0	7	9	7	9	7	7	5	10	8	10	6	12	5	10	7	2	2	0	4	6	3	9	4	2	5	11	14
4:Ins:R:1	2	1	0	0	1	0	1	1	2	2	0	2	0	2	1	1	2	1	0	1	2	6	1	0	0	3	3
4:Ins:R:2	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0
4:Ins:R:3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0
4:Ins:R:4	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
4:Ins:R:5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:0	15	7	18	20	14	11	19	14	24	13	10	24	28	32	50	23	15	9	11	18	14	25	7	13	8	19	31
5:Ins:R:1	2	4	2	4	6	3	8	4	6	1	3	12	7	5	2	3	5	3	4	4	5	1	2	2	9	0	7
5:Ins:R:2	1	0	0	0	0	0	2	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
5:Ins:R:3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:M:1	12	9	2	9	8	15	11	8	10	4	10	4	11	16	8	6	9	7	8	8	3	17	5	8	8	14	8
3:Del:M:1	0	2	1	0	1	1	2	7	3	3	1	4	5	2	1	1	3	1	2	5	3	2	1	1	2	2	1
3:Del:M:2	3	1	3	5	5	5	3	6	7	5	6	3	2	0	1	4	3	2	2	4	1	10	5	2	7	4	3
4:Del:M:1	1	2	8	6	3	4	2	2	4	3	2	2	3	4	5	3	3	2	4	4	1	8	3	5	2	4	6
4:Del:M:2	1	2	4	4	3	2	6	4	0	0	4	3	6	5	3	5	2	3	4	1	0	3	2	4	5	3	3
4:Del:M:3	4	3	0	6	5	6	3	3	6	5	4	3	6	3	1	3	2	3	3	4	1	5	2	7	6	1	4
5:Del:M:1	8	19	7	7	13	12	8	12	5	9	9	16	8	12	13	17	4	5	6	7	4	15	12	9	11	8	10
5:Del:M:2	7	4	6	7	13	6	10	10	3	4	5	4	11	8	4	10	4	5	6	9	1	8	11	11	12	3	4
5:Del:M:3	4	2	2	2	8	3	4	4	4	3	7	8	0	4	5	4	2	0	5	4	1	5	3	4	2	4	4
5:Del:M:4	1	1	1	3	7	2	3	1	2	1	2	3	4	3	2	2	2	1	2	0	0	3	3	3	3	0	1
5:Del:M:5	2	1	3	2	7	6	3	2	0	2	1	2	1	4	0	5	1	1	0	1	1	3	2	2	0	1	3
